CODVIA,CIVICO,BARRATO,X,Y,DENOMINAZIONE,CATEGORIA,GRADO,SOTTOTIPO,TIPO_U,MATRICE,NUM_ISCR,COD_SEDE,INDIRIZZO,TIPO,PARITARIA,NUM_CLASSI,TIPO_IST,ATTIVITA,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326,Location,ANNOSCOL,CODICE
1539,55,,1512581.819,5041068.321,IPAA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO ISTRUZIONE SUPERIORE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,116,4114,VIA LITTA MODIGNANI ALESSANDRO 55,STATALE,PARITARIA,7,ISTITUTO ISTRUZIONE SUPERIORE STATALE,DIURNO,9,81,BOVISASCA,9.160750514,45.52285476,"(45.5228547561716, 9.16075051361466)",,
5105,2,,1513468.534,5033623.417,IPIA G.FERRARIS-A.PACINOTTI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,752,4004,VIA CARCHIDIO FRANCESCO 2,STATALE,PARITARIA,40,ISTITUTO PROFESSIONALE STATALE PER L'INDUSTRIA E L'ARTIGIANATO,DIURNO,1,7,MAGENTA - S. VITTORE,9.171900973,45.4558271,"(45.4558270996815, 9.17190097269766)",,
1296,11,,1513942.334,5038587.551,IPIA E.MARELLI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,431,4008,VIA LIVIGNO 11,STATALE,PARITARIA,22,ISTITUTO PROFESSIONALE STATALE PER L'INDUSTRIA E L'ARTIGIANATO,DIURNO,9,79,DERGANO,9.178101036,45.50049979,"(45.5004997923619, 9.1781010362169)",,
1296,11,,1513942.334,5038587.551,IPIA E.MARELLI SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,99,4008,VIA LIVIGNO 11,STATALE,PARITARIA,5,ISTITUTO PROFESSIONALE STATALE PER L'INDUSTRIA E L'ARTIGIANATO,DIURNO,9,79,DERGANO,9.178101036,45.50049979,"(45.5004997923619, 9.1781010362169)",,
1313,30,,1514518.189,5038713.411,ITI GRAFICO PAVONIANO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,113,4011,VIA CRESPI BENIGNO 30,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,5,ISTITUTO TECNICO INDUSTRIALE,DIURNO,9,79,DERGANO,9.185475411,45.50162094,"(45.5016209396801, 9.18547541140928)",,
2306,11,,1516902.378,5037168.306,IPIA SETTEMBRINI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,269,4073,VIA DELEDDA GRAZIA 11,STATALE,PARITARIA,13,ISTITUTO PROFESSIONALE STATALE PER L'INDUSTRIA E L'ARTIGIANATO,DIURNO,2,20,LORETO - CASORETTO - NOLO,9.215939349,45.48766005,"(45.4876600513183, 9.21593934907972)",,
2686,6,,1519474.473,5035938.561,IPIA CIVICO SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,42,4014,VIA RUBATTINO RAFFAELE 6,COMUNALE,PARITARIA,5,ISTITUTO PROFESSIONALE PER L'INDUSTRIA E L'ARTIGIANATO CIVICO SERALE,SERALE,3,23,LAMBRATE - ORTICA,9.248804646,45.47652436,"(45.4765243623872, 9.24880464567349)",,
2275,116,,1518070.203,5038111.766,IPIA G.CASATI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PRIVATI ESISTENTI,86,4015,VIA PADOVA 116,ENTE PRIVATO LAICO,PRIVATA PARITARIA,5,ISTITUTO PROFESSIONALE PER L'INDUSTRIA E L'ARTIGIANATO,DIURNO,2,19,PADOVA - TURRO - CRESCENZAGO,9.230918151,45.49612286,"(45.4961228611882, 9.23091815094671)",,
6778,46,,1507162.004,5033931.142,IST. PROF. IND. ARTIGIANALE LUXEMBURG,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,375,4120,VIA CABELLA BARTOLOMEO 46,STATALE,PARITARIA,22,ISTITUTO PROFESSIONALE STATALE PER L'INDUSTRIA E L'ARTIGIANATO,DIURNO,7,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,9.091248416,45.45868961,"(45.458689607053, 9.09124841620807)",,
7165,4,,1512238.764,5036527.476,IPIA C.CORRENTI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,369,4020,VIA ALCUINO 4,STATALE,PARITARIA,21,ISTITUTO PROFESSIONALE STATALE PER L'INDUSTRIA E L'ARTIGIANATO,DIURNO,8,67,PORTELLO,9.156244979,45.48198902,"(45.4819890205383, 9.15624497930706)",,
