CODICESCUOLA,ORDINESCUOLA,AREAGEOGRAFICA,DENOMINAZIONEISTITUTORIFERIMENTO,PROVINCIA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,LONG_X_4326,LAT_Y_4326,Total
MIEE301011,SCUOLA PRIMARIA,NORD OVEST,CONVITTO NAZ.LE LONGONE/ MILANO,MILANO,PRIMARIA CONVITTO LONGONE,VIA DEGLI OLIVETANI 9,9.168777,45.461835,74
MIEE301033,SCUOLA PRIMARIA,NORD OVEST,CONVITTO NAZ.LE LONGONE/ MILANO,MILANO,PRIMARARIA CONFORTI AVOGADRO,VIA VIGEVANO 19,9.17352,45.452862,282
MIEE30201R,SCUOLA PRIMARIA,NORD OVEST,E.SETTI CARRARO DALLA CHIESA/MI,MILANO,PRIMARIA S. CARRARO DALLACHIESA,VIA PASSIONE 12,9.20214,45.464985,220
MIEE80901X,SCUOLA PRIMARIA,NORD OVEST,IC - MORANTE - FILZI,MILANO,PRIMARIA - VIA ANTONINI,VIA ANTONINI 50,9.1949625,45.437076,122
MIEE809021,SCUOLA PRIMARIA,NORD OVEST,IC - MORANTE - FILZI,MILANO,MI/BOGNETTI AGGR. SMS HEINE,VIA BOGNETTI N.15,9.1899405,45.438093,119
MIEE810014,SCUOLA PRIMARIA,NORD OVEST,IC A. RIZZOLI,MILANO,PRIMARIA - A. MANZONI,VIA VITTORIO EMANUELE,9.0105574,45.5169068,409
MIEE81301G,SCUOLA PRIMARIA,NORD OVEST,IC DON CARLO GNOCCHI,MILANO,PRIMARIA - E.TOTI,P.LE MILITE IGNOTO 1,9.4900931,45.1790149,305
MIEE81401B,SCUOLA PRIMARIA,NORD OVEST,IC CAVALIERI,MILANO,PRIMARIA ARIBERTO DI TOSCANA,VIA ARIBERTO INTIMIANO 14,9.173277,45.458856,424
MIEE815017,SCUOLA PRIMARIA,NORD OVEST,IC CARDARELLI MASSAUA,MILANO,MI-MASSAUA AGGR. SMS CARDARELLI,VIA MASSAUA 5,9.1483155,45.460782,193
MIEE815028,SCUOLA PRIMARIA,NORD OVEST,IC CARDARELLI MASSAUA,MILANO,PRIMARIA VIA SCROSATI,VIA SCROSATI 3,9.139653,45.453627,287
